state,puma_description,msa_description,state_puma,state_msa
tx,Dallas County (W)-Grand Prairie (Central)+Dallas (SW) Cities PUMA,Dallas-Fort Worth-Arlington/TX,TX-02319,TX-19100
tx,Dallas County (W)-Irving (S)+Grand Prairie (N) Cities PUMA,Dallas-Fort Worth-Arlington/TX,TX-02320,TX-19100
tx,Dallas County (NW)-Irving (Central)+Dallas (NW) Cities PUMA,Dallas-Fort Worth-Arlington/TX,TX-02321,TX-19100
tx,Dallas County (NW)-Irving (N)/Coppell+Carrollton (SW) Cities PUMA,Dallas-Fort Worth-Arlington/TX,TX-02322,TX-19100
tx,Parker County PUMA,Dallas-Fort Worth-Arlington/TX,TX-02400,TX-19100
tx,Tarrant County (NE)-Grapevine/Southlake+Colleyville Cities PUMA,Dallas-Fort Worth-Arlington/TX,TX-02501,TX-19100
tx,Tarrant County (E)-Euless (S+W)+Arlington (N) Cities PUMA,Dallas-Fort Worth-Arlington/TX,TX-02502,TX-19100
tx,Tarrant County (E)-Arlington (E)+Grand Prairie (W Central) Cities PUMA,Dallas-Fort Worth-Arlington/TX,TX-02503,TX-19100
tx,Tarrant County (SE)-Arlington (SE)+Grand Prairie (SW) Cities PUMA,Dallas-Fort Worth-Arlington/TX,TX-02504,TX-19100
tx,Tarrant County (SE)-Mansfield (N)+Arlington (SW) Cities PUMA,Dallas-Fort Worth-Arlington/TX,TX-02505,TX-19100
tx,Tarrant County (S Central)-Fort Worth City (SE)-S of I-20 PUMA,Dallas-Fort Worth-Arlington/TX,TX-02506,TX-19100
tx,Tarrant County (E)-Arlington City (W)-S of I-30+E of Loop I-820 PUMA,Dallas-Fort Worth-Arlington/TX,TX-02507,TX-19100
tx,Fort Worth City (E Central)-S of I-30/E of I-35W+Inside Loop I-820 PUMA,Dallas-Fort Worth-Arlington/TX,TX-02508,TX-19100
tx,Fort Worth (NE)+Hurst (S) Cities-N of I-30 PUMA,Dallas-Fort Worth-Arlington/TX,TX-02509,TX-19100
tx,Tarrant County (N)-N Richland Hills (N)+Keller Cities PUMA,Dallas-Fort Worth-Arlington/TX,TX-02510,TX-19100
tx,Fort Worth City (N)-E of I-35W+W of US-377 PUMA,Dallas-Fort Worth-Arlington/TX,TX-02511,TX-19100
tx,Fort Worth City (N Central)+Haltom City (N)-Inside Loop I-820 PUMA,Dallas-Fort Worth-Arlington/TX,TX-02512,TX-19100
tx,Fort Worth City (S Central)+Edgecliff Village Town PUMA,Dallas-Fort Worth-Arlington/TX,TX-02513,TX-19100
tx,Tarrant County (SW)-Fort Worth (SW)+Benbrook Cities PUMA,Dallas-Fort Worth-Arlington/TX,TX-02514,TX-19100
tx,Tarrant County (W)-Fort Worth City (W) PUMA,Dallas-Fort Worth-Arlington/TX,TX-02515,TX-19100
tx,Tarrant County (NW)-Fort Worth (NW)+Saginaw Cities PUMA,Dallas-Fort Worth-Arlington/TX,TX-02516,TX-19100
tx,W Central Texas COG (Outside Taylor County) PUMA,Abilene/TX,TX-02600,TX-10180
tx,W Central Texas COG-Taylor County-Abilene City PUMA,Abilene/TX,TX-02700,TX-10180
tx,Concho Valley COG+Permian Basin Regional Planning Commission (E) PUMA,Midland/TX,TX-02800,TX-33260
tx,Concho Valley COG+Permian Basin Regional Planning Commission (E) PUMA,San Angelo/TX,TX-02800,TX-41660
tx,Concho Valley COG-Tom Green County-San Angelo City PUMA,San Angelo/TX,TX-02900,TX-41660
tx,Permian Basin Regional Planning Commission (Central)-Midland County-Midland City PUMA,Midland/TX,TX-03000,TX-33260
tx,Permian Basin Regional Planning Commission (Central)-Ector County-Odessa City PUMA,Odessa/TX,TX-03100,TX-36220
tx,Rio Grande COG+Permian Basin Regional Planning Commission (W) PUMA,El Paso/TX,TX-03200,TX-21340
tx,,,TX-03300,TX-36220
tx,,,TX-03300,TX-21340
tx,El Paso County (Outside El Paso City)-Socorro+Horizon Cities PUMA,El Paso/TX,TX-03301,TX-21340
tx,El Paso City (E) PUMA,El Paso/TX,TX-03302,TX-21340
tx,El Paso City (SE) PUMA,El Paso/TX,TX-03303,TX-21340
tx,El Paso City (Central) PUMA,El Paso/TX,TX-03304,TX-21340
tx,El Paso City (N) PUMA,El Paso/TX,TX-03305,TX-21340
tx,El Paso City (NW) PUMA,El Paso/TX,TX-03306,TX-21340
tx,Central Texas COG (W)/Burnet+Llano Counties PUMA,Killeen-Temple/TX,TX-03400,TX-28660
tx,Central Texas COG-Bell County (W)-Killeen+Harker Heights Cities PUMA,Killeen-Temple/TX,TX-03501,TX-28660
tx,Central Texas COG-Bell County (North/E+S)-Temple+Belton Cities PUMA,Killeen-Temple/TX,TX-03502,TX-28660
tx,,,TX-03503,TX-21340
tx,,,TX-03504,TX-21340
tx,,,TX-03505,TX-21340
tx,,,TX-03600,TX-10180
tx,,,TX-03600,TX-33260
tx,,,TX-03600,TX-41660
tx,,,TX-03600,TX-28660
tx,,,TX-03600,TX-12420
tx,,,TX-03600,TX-41700
tx,Brazos Valley COG (Outside Brazos County)+Milam County PUMA,College Station-Bryan/TX,TX-03601,TX-17780
tx,Brazos Valley COG-Brazos County-College Station+Bryan Cities PUMA,College Station-Bryan/TX,TX-03602,TX-17780
tx,Heart of Texas COG (Outside McLennan County)+Navarro County PUMA,Waco/TX,TX-03700,TX-47380
tx,,,TX-03701,TX-28660
tx,,,TX-03702,TX-28660
tx,,,TX-03703,TX-28660
tx,Heart of Texas COG-McLennan County-Waco City (Central) PUMA,Waco/TX,TX-03801,TX-47380
tx,Heart of Texas COG-McLennan County-Waco (Outer)/Hewitt+Robinson Cities PUMA,Waco/TX,TX-03802,TX-47380
tx,,,TX-03900,TX-17780
tx,,,TX-03900,TX-47380
tx,,,TX-03900,TX-26420
tx,,,TX-03900,TX-12420
tx,,,TX-03900,TX-13140
tx,,,TX-04000,TX-17780
tx,,,TX-04000,TX-30980
tx,Deep E Texas COG (E) PUMA,Beaumont-Port Arthur/TX,TX-04100,TX-13140
tx,Orange+Hardin Counties PUMA,Beaumont-Port Arthur/TX,TX-04200,TX-13140
tx,,,TX-04300,TX-13140
tx,Jefferson County (N Central)-Beaumont City PUMA,Beaumont-Port Arthur/TX,TX-04301,TX-13140
tx,Jefferson County (Outside Beaumont City)-Port Arthur City PUMA,Beaumont-Port Arthur/TX,TX-04302,TX-13140
tx,Houston-Galveston Area Council-Liberty+Chambers Counties PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04400,TX-26420
tx,Houston-Galveston Area Council-Montgomery County (NE)-Conroe City (E) PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04501,TX-26420
tx,Houston-Galveston Area Council-Montgomery County (W)-Conroe City (W) PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04502,TX-26420
tx,Houston-Galveston Area Council-Montgomery County (S)-The Woodlands (N) PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04503,TX-26420
tx,Houston-Galveston Area Council-Montgomery County (SE) PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04504,TX-26420
tx,Houston City (N Central)-N of I-10+Inside Loop I-610 PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04601,TX-26420
tx,Houston City (E Central)-E of I-45+Inside Loop I-610 PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04602,TX-26420
tx,Houston City (S Central)-S of US-59/W of I-45+Inside Loop I-610 PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04603,TX-26420
tx,Houston City (W Central)-S of I-10+Inside Loop I-610 PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04604,TX-26420
tx,Harris County (SE)-Pasadena City (N+Central)-Inside Beltway TX-8 PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04605,TX-26420
tx,Houston (E)/Galena Park/Jacinto Cities+Cloverleaf PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04606,TX-26420
tx,Houston City (NE)-Between Loop I-610+Beltway TX-8 PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04607,TX-26420
tx,Houston City (N)+Aldine-Between Loop I-610+Beltway TX-8 PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04608,TX-26420
tx,Houston City (N)-S of Aldine+Inside Beltway TX-8 PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04609,TX-26420
tx,Houston City (N)-W of Aldine+Inside Beltway TX-8 PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04610,TX-26420
tx,Houston City (NW)-Between Loop I-610+Beltway TX-8 PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04611,TX-26420
tx,Houston (W)+Spring Valley Village Cities-Between Loop I-610+Beltway TX-8 PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04612,TX-26420
tx,Houston (W)+Hunters Creek Village Cities-Between Loop I-610+Beltway TX-8 PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04613,TX-26420
tx,Houston City (W)-Westpark Tollway/Between Loop I-610+Beltway TX-8 PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04614,TX-26420
tx,Houston (SW)+Bellaire (SE) Cities-Between Loop I-610+Beltway TX-8 PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04615,TX-26420
tx,Houston City (SW)-Between Loop I-610+Beltway TX-8 PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04616,TX-26420
tx,Houston City (S)-Between Loop I-610+Beltway TX-8 PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04617,TX-26420
tx,Houston City (SE)-W of Pasadena City+Outside Loop I-610 PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04618,TX-26420
tx,Houston (SE)+S Houston Cities-Inside Beltway TX-8 PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04619,TX-26420
tx,Houston (SE)+Webster Cities PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04620,TX-26420
tx,Houston (SE)/Pasadena (SE)/La Porte (S)+Seabrook (E) Cities PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04621,TX-26420
tx,Harris County (E)-Deer Park/La Porte (N) Cities+Channelview PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04622,TX-26420
tx,Harris County (E)-Baytown City PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04623,TX-26420
tx,Harris County (NE)-Houston City (Far NE) PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04624,TX-26420
tx,Harris County (N)-Houston (N)/Humble Cities+Atascocita PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04625,TX-26420
tx,Harris County (N)-Houston City (N)-I-45/Between Beltway TX-8+FM-1960 PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04626,TX-26420
tx,Harris County (Far N)-Spring PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04627,TX-26420
tx,Harris County (NW)-Jersey Village City-Between Beltway TX-8+FM-1960 PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04628,TX-26420
tx,Harris County (N)-N of FM-1960/W of I-45+E of TX-249 PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04629,TX-26420
tx,Harris County (Far N)-Tomball City+The Woodlands (SW) PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04630,TX-26420
tx,Harris County (NW)-N of US-290+N of FM-1960 PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04631,TX-26420
tx,Harris County (Far NW)-Katy City (NE) PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04632,TX-26420
tx,Harris County (NW)-S of US-290+W of TX-6 PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04633,TX-26420
tx,Harris County (W)-Houston City (W)-N of US-90+W of TX-6 PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04634,TX-26420
tx,Houston City (W)-S of I-10+W of TX-6 PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04635,TX-26420
tx,Houston City (W)-E of TX-6+W of Beltway TX-8 PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04636,TX-26420
tx,Houston City (W)-Westpark Tollway/W of Beltway TX-8 PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04637,TX-26420
tx,Houston City (SW)-E of TX-6+W of Beltway TX-8 PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04638,TX-26420
tx,Galveston County (Central/S+E)-Galveston/Texas City+La Marque Cities PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04701,TX-26420
tx,Galveston County (NW)-League City+Friendswood City PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04702,TX-26420
tx,Houston-Galveston Area Council-Brazoria County (N)-Pearland City PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04801,TX-26420
tx,Houston-Galveston Area Council-Brazoria County (Central)-Alvin City PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04802,TX-26420
tx,Houston-Galveston Area Council-Brazoria County (SW)-Lake Jackson City PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04803,TX-26420
tx,Fort Bend County (E)-Missouri City PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04901,TX-26420
tx,Fort Bend County (NE)-Sugar Land+Stafford Cities PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04902,TX-26420
tx,Fort Bend County (Central)-Rosenberg City/Pecan Grove+New Territory PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04903,TX-26420
tx,Fort Bend County (N)-Mission Bend (SW)/Cinco Ranch+Four Corners PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04904,TX-26420
tx,Fort Bend County (W+S) PUMA,Houston-The Woodlands-Sugar Land/TX,TX-04905,TX-26420
tx,Houston-Galveston Area Council (W) PUMA,Houston-The Woodlands-Sugar Land/TX,TX-05000,TX-26420
tx,Capital Area COG (E)-Bastrop/Caldwell/Fayette+Lee Counties PUMA,Austin-Round Rock/TX,TX-05100,TX-12420
tx,Capital Area COG-Williamson County (N)-Georgetown (E)+Taylor Cities PUMA,Austin-Round Rock/TX,TX-05201,TX-12420
tx,Capital Area COG-Williamson County (SE)-Round Rock City PUMA,Austin-Round Rock/TX,TX-05202,TX-12420
tx,Williamson County (S)-Austin City (Far N)/Brushy Creek+Jollyville PUMA,Austin-Round Rock/TX,TX-05203,TX-12420
tx,Capital Area COG-Williamson County (W)-Cedar Park+Leander Cities PUMA,Austin-Round Rock/TX,TX-05204,TX-12420
tx,Travis County (NE)-Pflugerville/Manor Cities+Wells Branch PUMA,Austin-Round Rock/TX,TX-05301,TX-12420
tx,Austin City (N) PUMA,Austin-Round Rock/TX,TX-05302,TX-12420
tx,Austin City (NE) PUMA,Austin-Round Rock/TX,TX-05303,TX-12420
tx,Austin City (SE) PUMA,Austin-Round Rock/TX,TX-05304,TX-12420
tx,Austin City (NW) PUMA,Austin-Round Rock/TX,TX-05305,TX-12420
tx,Austin City (Central) PUMA,Austin-Round Rock/TX,TX-05306,TX-12420
tx,Austin City (S) PUMA,Austin-Round Rock/TX,TX-05307,TX-12420
tx,Austin City (SW)/Lost Creek+Barton Creek PUMA,Austin-Round Rock/TX,TX-05308,TX-12420
tx,Travis County (West/S+Outside Austin City) PUMA,Austin-Round Rock/TX,TX-05309,TX-12420
tx,Capital Area COG (SW)-Hays County PUMA,Austin-Round Rock/TX,TX-05400,TX-12420
tx,,,TX-05401,TX-28660
tx,,,TX-05401,TX-12420
tx,,,TX-05402,TX-12420
tx,Golden Crescent Regional Planning Commission (N)+Wilson+Karnes Counties PUMA,San Antonio-New Braunfels/TX,TX-05500,TX-41700
tx,Golden Crescent Regional Planning Commission (N)+Wilson+Karnes Counties PUMA,Victoria/TX,TX-05500,TX-47020
tx,Golden Crescent Regional Planning Commission (SE)-Victoria+Calhoun Counties PUMA,Victoria/TX,TX-05600,TX-47020
tx,,,TX-05601,TX-41700
tx,,,TX-05602,TX-41700
tx,,,TX-05603,TX-41700
tx,,,TX-05604,TX-41700
tx,,,TX-05605,TX-41700
tx,,,TX-05606,TX-41700
tx,,,TX-05607,TX-41700
tx,,,TX-05608,TX-41700
tx,,,TX-05609,TX-41700
tx,,,TX-05610,TX-41700
tx,,,TX-05611,TX-41700
tx,Alamo Area COG (NE)-Guadalupe County PUMA,San Antonio-New Braunfels/TX,TX-05700,TX-41700
tx,Alamo Area COG (NE)-Comal County PUMA,San Antonio-New Braunfels/TX,TX-05800,TX-41700
tx,,,TX-05900,TX-29700
tx,San Antonio City (Central) PUMA,San Antonio-New Braunfels/TX,TX-05901,TX-41700
tx,San Antonio City (NE)-Inside Loop I-410 PUMA,San Antonio-New Braunfels/TX,TX-05902,TX-41700
tx,San Antonio City (SE)-Inside Loop I-410 PUMA,San Antonio-New Braunfels/TX,TX-05903,TX-41700
tx,San Antonio City (NW)-Inside Loop I-410 PUMA,San Antonio-New Braunfels/TX,TX-05904,TX-41700
tx,San Antonio City (W)-Inside Loop I-410 PUMA,San Antonio-New Braunfels/TX,TX-05905,TX-41700
tx,San Antonio City (SW)-Inside Loop I-410 PUMA,San Antonio-New Braunfels/TX,TX-05906,TX-41700
tx,Bexar County (S)-San Antonio City (Far S) PUMA,San Antonio-New Braunfels/TX,TX-05907,TX-41700
tx,San Antonio City (W)-Between Loop TX-1604+Loop I-410 PUMA,San Antonio-New Braunfels/TX,TX-05908,TX-41700
tx,San Antonio (NW)+Leon Valley Cities PUMA,San Antonio-New Braunfels/TX,TX-05909,TX-41700
tx,San Antonio City (NW)-Between Loop TX-1604+Loop I-410 PUMA,San Antonio-New Braunfels/TX,TX-05910,TX-41700
tx,San Antonio City (N)/Hollywood Park Town+Shavano Park City PUMA,San Antonio-New Braunfels/TX,TX-05911,TX-41700
tx,San Antonio City (NE)-Between Loop TX-1604+Loop I-410 PUMA,San Antonio-New Braunfels/TX,TX-05912,TX-41700
tx,San Antonio (NE)/Kirby+Windcrest Cities PUMA,San Antonio-New Braunfels/TX,TX-05913,TX-41700
tx,Bexar County (NW)-San Antonio (Far NW)+Helotes Cities PUMA,San Antonio-New Braunfels/TX,TX-05914,TX-41700
tx,Bexar County (N)-San Antonio City (Far N)+Timberwood Park PUMA,San Antonio-New Braunfels/TX,TX-05915,TX-41700
tx,Bexar County (NE)-San Antonio (NE)/Universal City+Converse Cities PUMA,San Antonio-New Braunfels/TX,TX-05916,TX-41700
tx,Alamo Area COG (NW)+Blanco County PUMA,San Antonio-New Braunfels/TX,TX-06000,TX-41700
tx,Alamo Area COG (SW) PUMA,San Antonio-New Braunfels/TX,TX-06100,TX-41700
tx,,,TX-06200,TX-41700
tx,,,TX-06200,TX-47020
tx,S Texas Development Council (N)-Webb County-Laredo City (Central) PUMA,Laredo/TX,TX-06301,TX-29700
tx,S Texas Development Council-Webb County (N+E)-Laredo City (Outer) PUMA,Laredo/TX,TX-06302,TX-29700
tx,,,TX-06400,TX-18580
tx,,,TX-06400,TX-41700
tx,Coastal Bend COG (NE) PUMA,Corpus Christi/TX,TX-06500,TX-18580
tx,,,TX-06600,TX-32580
tx,Coastal Bend COG-Nueces County-Corpus Christi City (Outer) PUMA,Corpus Christi/TX,TX-06601,TX-18580
tx,Coastal Bend COG-Nueces County (Central)-Corpus Christi City (N Central) PUMA,Corpus Christi/TX,TX-06602,TX-18580
tx,Coastal Bend COG-Nueces County (Central)-Corpus Christi City (S Central) PUMA,Corpus Christi/TX,TX-06603,TX-18580
tx,Cameron County (E)-Brownsville City (N) PUMA,Brownsville-Harlingen/TX,TX-06701,TX-15180
tx,Cameron County (W)-Harlingen+San Benito Cities PUMA,Brownsville-Harlingen/TX,TX-06702,TX-15180
tx,Cameron County (S)-Brownsville City (Central) PUMA,Brownsville-Harlingen/TX,TX-06703,TX-15180
tx,,,TX-06704,TX-32580
tx,,,TX-06800,TX-15180
tx,Hidalgo County (SE)-Weslaco+Mercedes Cities PUMA,McAllen-Edinburg-Mission/TX,TX-06801,TX-32580
tx,Hidalgo County (E)-Alamo+Donna Cities PUMA,McAllen-Edinburg-Mission/TX,TX-06802,TX-32580
tx,Hidalgo County (S Central)-Pharr/San Juan+Hidalgo Cities PUMA,McAllen-Edinburg-Mission/TX,TX-06803,TX-32580
tx,Hidalgo County (N Central)-Edinburg City PUMA,McAllen-Edinburg-Mission/TX,TX-06804,TX-32580
tx,Hidalgo County (Central)-McAllen City PUMA,McAllen-Edinburg-Mission/TX,TX-06805,TX-32580
tx,Hidalgo County (SW)-Mission City PUMA,McAllen-Edinburg-Mission/TX,TX-06806,TX-32580
tx,Hidalgo County (N+W) PUMA,McAllen-Edinburg-Mission/TX,TX-06807,TX-32580
tx,,,TX-06900,TX-15180
tx,,,TX-06900,TX-41700
tx,,,TX-06900,TX-29700
tx,,,TX-06900,TX-18580
ut,,,UT-00100,UT-36260
ut,,,UT-00100,UT-41620
ut,,,UT-00100,UT-30860
ut,,,UT-00100,UT-39340
ut,,,UT-00200,UT-36260
ut,,,UT-00200,UT-41620
ut,,,UT-00200,UT-30860
ut,,,UT-00301,UT-36260
ut,,,UT-00302,UT-36260
ut,,,UT-00400,UT-30860
ut,,,UT-00400,UT-36260
ut,,,UT-00400,UT-39340
ut,,,UT-00501,UT-36260
ut,,,UT-00501,UT-41620
ut,,,UT-00502,UT-41620
ut,,,UT-00502,UT-39340
ut,,,UT-00503,UT-41620
ut,,,UT-00504,UT-41620
ut,,,UT-00505,UT-41620
ut,,,UT-00506,UT-41620
ut,,,UT-00507,UT-41620
ut,,,UT-00601,UT-39340
ut,,,UT-00602,UT-39340
ut,,,UT-00603,UT-41620
ut,,,UT-00603,UT-39340
ut,,,UT-00700,UT-39340
ut,,,UT-00700,UT-41100
ut,Tooele+Box Elder Counties PUMA,Ogden-Clearfield/UT,UT-03001,UT-36260
ut,Tooele+Box Elder Counties PUMA,Salt Lake City/UT,UT-03001,UT-41620
ut,Cache/Summit/Morgan+Rich Counties PUMA,Logan/UT-ID,UT-05001,UT-30860
ut,Cache/Summit/Morgan+Rich Counties PUMA,Ogden-Clearfield/UT,UT-05001,UT-36260
ut,Davis County (N)-Layton/Clearfield/Kaysville/Syracuse+Clinton Cities PUMA,Ogden-Clearfield/UT,UT-11001,UT-36260
ut,Davis County (S)-Bountiful/Farmington+N Salt Lake Cities PUMA,Ogden-Clearfield/UT,UT-11002,UT-36260
ut,,,UT-13001,UT-19740
ut,,,UT-13001,UT-39380
ut,SW+S Central Utah (Outside Washington County)-Cedar City PUMA,Provo-Orem/UT,UT-21001,UT-39340
ut,Salt Lake County (NW)-Salt Lake City (W)/W Valley City (W)+Magna PUMA,Salt Lake City/UT,UT-35001,UT-41620
ut,Salt Lake County (NE)-Salt Lake City (E) PUMA,Salt Lake City/UT,UT-35002,UT-41620
ut,Salt Lake County-W Valley City (Central)/Salt Lake City (S Central)+Kearns PUMA,Salt Lake City/UT,UT-35003,UT-41620
ut,Salt Lake County-W Valley City (E)/Taylorsville+Murray (W) Cities PUMA,Salt Lake City/UT,UT-35004,UT-41620
ut,Salt Lake County (E Central)-Murray (E)/Holladay Cities+Millcreek PUMA,Salt Lake City/UT,UT-35005,UT-41620
ut,Salt Lake County-W Jordan (W)/Herriman+S Jordan (W) Cities PUMA,Salt Lake City/UT,UT-35006,UT-41620
ut,Salt Lake County-W Jordan (E)/S Jordan (E)+Riverton Cities PUMA,Salt Lake City/UT,UT-35007,UT-41620
ut,Salt Lake County (SE)-Sandy (N)/Cottonwood Heights+Midvale Cities PUMA,Salt Lake City/UT,UT-35008,UT-41620
ut,Salt Lake County (S+E Central)-Draper (NW)+Sandy (S) Cities PUMA,Salt Lake City/UT,UT-35009,UT-41620
ut,Utah County (W)-Saratoga Springs/Payson+Lehi (SW) Cities PUMA,Provo-Orem/UT,UT-49001,UT-39340
ut,Utah County (Central)-Orem/Pleasant Grove/American Fork+Lindon Cities PUMA,Provo-Orem/UT,UT-49002,UT-39340
ut,Utah County (Central)-Provo City PUMA,Provo-Orem/UT,UT-49003,UT-39340
ut,Utah County (E)-Spanish Fork/Springville/Lehi (NE)+Highland Cities PUMA,Provo-Orem/UT,UT-49004,UT-39340
ut,Washington County-St George City PUMA,St George/UT,UT-53001,UT-41100
ut,Weber County (W)-Roy/N Ogden/Ogden (NW)+W Haven Cities PUMA,Ogden-Clearfield/UT,UT-57001,UT-36260
ut,Weber County (E)-Ogden (SE)+S Ogden Cities PUMA,Ogden-Clearfield/UT,UT-57002,UT-36260
va,,,VA-00100,VA-47900
va,,,VA-00200,VA-47900
va,,,VA-00301,VA-47900
va,,,VA-00302,VA-47900
va,,,VA-00303,VA-47900
va,,,VA-00304,VA-47900
va,,,VA-00305,VA-47900
va,,,VA-00400,VA-47900
va,,,VA-00400,VA-49020
va,,,VA-00501,VA-47900
va,,,VA-00502,VA-47900
va,,,VA-00600,VA-47900
va,,,VA-00600,VA-49020
va,,,VA-00600,VA-19060
va,,,VA-00600,VA-25180
va,,,VA-00700,VA-47900
va,,,VA-00700,VA-16820
va,,,VA-00700,VA-25500
va,,,VA-00700,VA-40060
va,,,VA-00800,VA-47900
va,,,VA-00800,VA-40060
va,,,VA-00900,VA-47900
va,,,VA-00900,VA-40060
va,,,VA-01000,VA-47900
va,,,VA-01000,VA-16820
va,,,VA-01000,VA-40060
va,,,VA-01100,VA-40220
va,,,VA-01100,VA-44420
va,,,VA-01100,VA-16820
va,,,VA-01100,VA-25500
va,,,VA-01200,VA-40060
va,,,VA-01300,VA-40060
va,Arlington County (N) PUMA,Washington-Arlington-Alexandria/DC-VA-MD-WV,VA-01301,VA-47900
va,Arlington County (S) PUMA,Washington-Arlington-Alexandria/DC-VA-MD-WV,VA-01302,VA-47900
va,,,VA-01400,VA-40060
va,,,VA-01500,VA-40060
va,,,VA-01500,VA-16820
va,,,VA-01600,VA-40220
va,,,VA-01700,VA-13980
va,,,VA-01700,VA-40220
va,,,VA-01800,VA-31340
va,,,VA-01900,VA-40060
va,,,VA-01900,VA-47900
va,,,VA-01900,VA-47260
va,,,VA-02000,VA-47260
va,,,VA-02100,VA-47260
va,,,VA-02200,VA-47260
va,,,VA-02300,VA-40060
va,,,VA-02400,VA-28700
va,,,VA-02400,VA-13980
va,,,VA-02400,VA-40220
va,,,VA-02500,VA-28700
va,,,VA-02600,VA-28700
va,,,VA-02700,VA-28700
va,,,VA-02801,VA-47260
va,,,VA-02802,VA-47260
va,,,VA-02803,VA-47260
va,,,VA-02900,VA-47260
va,,,VA-03000,VA-47260
va,,,VA-03100,VA-47260
va,,,VA-03200,VA-16820
va,,,VA-03200,VA-40060
va,,,VA-03200,VA-47260
va,,,VA-03300,VA-24660
va,,,VA-03300,VA-49180
va,,,VA-03300,VA-13980
va,,,VA-03300,VA-40220
va,,,VA-03400,VA-31340
va,,,VA-03400,VA-16820
va,,,VA-03400,VA-40060
va,,,VA-03500,VA-19260
va,,,VA-03500,VA-32300
va,Chesterfield County (E)-James River Region PUMA,Richmond/VA,VA-04101,VA-40060
va,Chesterfield County (Central)-Chester+Rockwood PUMA,Richmond/VA,VA-04102,VA-40060
va,Chesterfield County (W)-Brandermill+Woodlake PUMA,Richmond/VA,VA-04103,VA-40060
va,Loudoun County (NE)-Sterling+Ashburn (NE/Ashburn Village) PUMA,Washington-Arlington-Alexandria/DC-VA-MD-WV,VA-10701,VA-47900
va,Loudoun County (E Central)-Ashburn (SW/Belmont Ridge)+Dulles Airport PUMA,Washington-Arlington-Alexandria/DC-VA-MD-WV,VA-10702,VA-47900
va,Loudoun County (W+S)-Leesburg Town PUMA,Washington-Arlington-Alexandria/DC-VA-MD-WV,VA-10703,VA-47900
va,LENOWISCO+Cumberland Plateau Planning District Commissions PUMA,Kingsport-Bristol-Bristol/TN-VA,VA-51010,VA-28700
va,Mount Rogers Planning District Commission PUMA,Kingsport-Bristol-Bristol/TN-VA,VA-51020,VA-28700
va,New River Valley Planning District Commission PUMA,Blacksburg-Christiansburg-Radford/VA,VA-51040,VA-13980
